joint_name,mean_visibility,min_visibility,coverage_ratio
left_hip,0.999943733215332,0.9998359680175781,1.0
right_hip,0.9999359846115112,0.999803900718689,1.0
left_shoulder,0.9999127388000488,0.9998831152915955,1.0
right_shoulder,0.9998397827148438,0.9997722506523132,1.0
left_knee,0.9883707165718079,0.9815011620521545,1.0
right_knee,0.9863130450248718,0.9757472276687622,1.0
right_wrist,0.9791915416717529,0.957263708114624,1.0
right_ankle,0.9756375551223755,0.9548517465591431,1.0
left_wrist,0.9747416973114014,0.9620219469070435,1.0
left_ankle,0.9663852453231812,0.9359745383262634,1.0
left_elbow,0.9397121667861938,0.9213021397590637,1.0
right_elbow,0.8907960057258606,0.805552065372467,1.0
